module_code,module_title,department,classification,m4_lead_name,m4_lead_score,m5_lead_name,m5_lead_score,lead_status,rank_shift,tradeoff_delta,policy_summary
ME5641,Strategy and Business Planning,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Alireza Mousavi,0.1742,Dr Alireza Mousavi,0.1742,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Alireza Mousavi assigned as Rank #1 subject expert (Relevance score: 0.1742).
DR16CC,Acting,Department of Arts and Humanities,taught_academic,Dr Katerina Paramana,0.2423,Dr Katerina Paramana,0.2423,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Katerina Paramana assigned as Rank #1 subject expert (Relevance score: 0.2423).
DM1601,Electronics and Mathematics,Brunel Design School,taught_academic,Dr Liang Li,0.1521,Dr Liang Li,0.1521,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Liang Li assigned as Rank #1 subject expert (Relevance score: 0.1521).
CO3XXA,21st Century Media Bodies,"Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.2543,Dr Hauke Riesch,0.2043,DISPLACED_BY_QUOTA,3,0.05,"Assigned Dr Hauke Riesch (Rank #4, Relevance: 0.2043) under Institutional Workload Policy."
N/A,Digital Design and Prototyping,Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.3874,Dr Federico Colecchia,0.3472,DISPLACED_BY_QUOTA,2,0.0402,"Assigned Dr Federico Colecchia (Rank #3, Relevance: 0.3472) under Institutional Workload Policy."
FM1628,Film and TV Analysis,Department of Arts and Humanities,taught_academic,Dr Sean Holmes,0.336,Dr Sean Holmes,0.336,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sean Holmes assigned as Rank #1 subject expert (Relevance score: 0.3360).
MG2641,Marketing Challenge,Brunel Business School,taught_academic,Dr Carolin Decker-Lange,0.3797,Dr Lewis Smith,0.3167,DISPLACED_BY_QUOTA,4,0.063,"Assigned Dr Lewis Smith (Rank #5, Relevance: 0.3167) under Institutional Workload Policy."
MG5620,Contemporary Brand Management,Brunel Business School,taught_academic,Dr Gurdeep Kohli,0.4236,Dr Pantea Foroudi,0.3012,DISPLACED_BY_QUOTA,4,0.1224,"Assigned Dr Pantea Foroudi (Rank #5, Relevance: 0.3012) under Institutional Workload Policy."
DX2601,Experimental Digital Futures,Department of Electronic and Computer Engineering,taught_academic,Professor Mark Perry,0.2886,Professor Panos Louvieris,0.2825,DISPLACED_BY_QUOTA,1,0.006,"Assigned Professor Panos Louvieris (Rank #2, Relevance: 0.2825) under Institutional Workload Policy."
BB1725,Biology of the Cell,Department of Life Sciences,taught_academic,Professor Joanna Bridger,0.4342,Professor Joanna Bridger,0.4342,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Joanna Bridger assigned as Rank #1 subject expert (Relevance score: 0.4342).
MG2629,Digital Marketing,Brunel Business School,taught_academic,Dr Syed Muhammad,0.3391,Dr Dongmei Zha,0.2944,DISPLACED_BY_QUOTA,3,0.0447,"Assigned Dr Dongmei Zha (Rank #4, Relevance: 0.2944) under Institutional Workload Policy."
N/A,Chemical Risk Assessment and Management,Department of Civil and Environmental Engineering,taught_academic,Professor Rakesh Kanda,0.418,Professor Rakesh Kanda,0.418,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Rakesh Kanda assigned as Rank #1 subject expert (Relevance score: 0.4180).
CW5616,Creative Non-Fiction,Department of Arts and Humanities,taught_academic,Dr Emily Horton,0.3327,Dr Emily Horton,0.3327,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Emily Horton assigned as Rank #1 subject expert (Relevance score: 0.3327).
LX5617,Principles of International Commercial Arbitration,Brunel Law School,taught_academic,Dr Filip Balcerzak,0.3852,Dr Filip Balcerzak,0.3852,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Filip Balcerzak assigned as Rank #1 subject expert (Relevance score: 0.3852).
MG3622,Strategic Management,Brunel Business School,taught_academic,Dr Carolin Decker-Lange,0.3201,Dr Carolin Decker-Lange,0.3201,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Carolin Decker-Lange assigned as Rank #1 subject expert (Relevance score: 0.3201).
ED2709,Education Work Placements 2,Department of Education,independent_project_placement,Dr Lewis Fogarty,0.3156,Dr Lewis Fogarty,0.3156,EXEMPT,0,0.0,Exempt unit: 'Dr Lewis Fogarty' assigned as academic supervisor / dissertation coordinator.
LX5BBB,SQE 1 Preparation: Legal Practice 2,Brunel Law School,taught_academic,Dr Elena Zaccaria,0.2528,Dr Elena Zaccaria,0.2528,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Elena Zaccaria assigned as Rank #1 subject expert (Relevance score: 0.2528).
BB1722,Fundamental Biochemistry,Department of Life Sciences,taught_academic,Dr Gudrun Stenbeck,0.2932,Dr Michelle Sahai,0.292,DISPLACED_BY_QUOTA,1,0.0012,"Assigned Dr Michelle Sahai (Rank #2, Relevance: 0.2920) under Institutional Workload Policy."
GY2607,Ecosystems Stressors,Department of Life Sciences,taught_academic,Dr Michael Price,0.196,Dr Elena Makovac,0.1831,DISPLACED_BY_QUOTA,2,0.013,"Assigned Dr Elena Makovac (Rank #3, Relevance: 0.1831) under Institutional Workload Policy."
CE2616,Structural Analysis,Department of Civil and Environmental Engineering,taught_academic,Dr Rui Ramos Cardoso,0.2914,Dr Rabee Shamass,0.2651,DISPLACED_BY_QUOTA,3,0.0263,"Assigned Dr Rabee Shamass (Rank #4, Relevance: 0.2651) under Institutional Workload Policy."
CW2606,Life Writing I,"Department of Social Sciences, Media and Communications",taught_academic,Dr Will Rollason,0.258,Dr Sara De Benedictis,0.2566,DISPLACED_BY_QUOTA,1,0.0013,"Assigned Dr Sara De Benedictis (Rank #2, Relevance: 0.2566) under Institutional Workload Policy."
N/A,Global Public Health and Epidemiology,Department of Life Sciences,taught_academic,Dr Micheal De Barra,0.3916,Dr Micheal De Barra,0.3916,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Micheal De Barra assigned as Rank #1 subject expert (Relevance score: 0.3916).
N/A,Advanced Solid Body Mechanics and FEA,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Giulio Alfano,0.402,Dr Giulio Alfano,0.402,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Giulio Alfano assigned as Rank #1 subject expert (Relevance score: 0.4020).
PH2605,Mandatory Clinical Training,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.363,Miss Alex Harvey,0.3519,DISPLACED_BY_QUOTA,1,0.0111,"Assigned Miss Alex Harvey (Rank #2, Relevance: 0.3519) under Institutional Workload Policy."
N/A,Anthropology and Aesthetics,Department of Arts and Humanities,taught_academic,Dr Katerina Paramana,0.3187,Professor Michael Wayne,0.266,DISPLACED_BY_QUOTA,3,0.0527,"Assigned Professor Michael Wayne (Rank #4, Relevance: 0.2660) under Institutional Workload Policy."
EC5630,Data Analytics for Finance,"Department of Economics, Finance and Accounting",taught_academic,Dr Fang Xu,0.4126,Dr Anamaria Diana Sova,0.4059,DISPLACED_BY_QUOTA,1,0.0067,"Assigned Dr Anamaria Diana Sova (Rank #2, Relevance: 0.4059) under Institutional Workload Policy."
SP1606,Fundamentals of Human Anatomy and Physiology,Department of Life Sciences,taught_academic,Professor Jose Gonzalez-Alonso,0.3261,Professor Jose Gonzalez-Alonso,0.3261,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Jose Gonzalez-Alonso assigned as Rank #1 subject expert (Relevance score: 0.3261).
N/A,Clinical Placement A,Department of Arts and Humanities,independent_project_placement,Dr Katerina Paramana,0.2662,Dr Katerina Paramana,0.2662,EXEMPT,0,0.0,Exempt unit: 'Dr Katerina Paramana' assigned as academic supervisor / dissertation coordinator.
SP1612,Introduction to the Psychology of Sport and Exercise,Department of Life Sciences,taught_academic,Dr Rich Mullen,0.5263,Dr Rich Mullen,0.5263,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Rich Mullen assigned as Rank #1 subject expert (Relevance score: 0.5263).
GD1608,Games Design 1: Introduction to Game Design,Department of Arts and Humanities,taught_academic,Mr Chris Cox,0.3864,Mr Chris Cox,0.3864,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Mr Chris Cox assigned as Rank #1 subject expert (Relevance score: 0.3864).
MG5577,International and Comparative Human Resource Management,Brunel Business School,taught_academic,Dr Sabeen Ahmad,0.3227,Dr Meltem Yavuz Sercekman,0.2706,DISPLACED_BY_QUOTA,3,0.0521,"Assigned Dr Meltem Yavuz Sercekman (Rank #4, Relevance: 0.2706) under Institutional Workload Policy."
EC3NNN,Behavioural Finance,"Department of Economics, Finance and Accounting",taught_academic,Professor Alper Kara,0.4106,Professor Alper Kara,0.4106,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Alper Kara assigned as Rank #1 subject expert (Relevance score: 0.4106).
EC5603,Business Finance,"Department of Economics, Finance and Accounting",taught_academic,Miss Dilruba Karim,0.4022,Dr Haoyu Li,0.3631,DISPLACED_BY_QUOTA,3,0.0391,"Assigned Dr Haoyu Li (Rank #4, Relevance: 0.3631) under Institutional Workload Policy."
LX5674,Patents and Trademarks,Department of Social and Political Sciences,taught_academic,Dr Anna Tuckett,0.2004,Dr Anna Tuckett,0.2004,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anna Tuckett assigned as Rank #1 subject expert (Relevance score: 0.2004).
MU3625,Professional Independent Project,Department of Arts and Humanities,taught_academic,Professor Michael Wayne,0.2331,Professor Michael Wayne,0.2331,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Michael Wayne assigned as Rank #1 subject expert (Relevance score: 0.2331).
PH5650,PH5650 Advanced Lifestyle Management in Cardiovascular Health,Department of Health Sciences,taught_academic,Dr Emma Norris,0.5012,Dr Shirley Crankson,0.4319,DISPLACED_BY_QUOTA,1,0.0693,"Assigned Dr Shirley Crankson (Rank #2, Relevance: 0.4319) under Institutional Workload Policy."
PH5615,Facilitating Learning and Teaching for Advanced Clinical Practice,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.4176,Miss Alex Harvey,0.3726,DISPLACED_BY_QUOTA,1,0.045,"Assigned Miss Alex Harvey (Rank #2, Relevance: 0.3726) under Institutional Workload Policy."
EN2617,Texts and Afterlives: Shakespeare,Department of Arts and Humanities,taught_academic,Professor Jago Morrison,0.3037,Dr Iman Sheeha,0.2879,DISPLACED_BY_QUOTA,2,0.0158,"Assigned Dr Iman Sheeha (Rank #3, Relevance: 0.2879) under Institutional Workload Policy."
MU1622,Musicology 1: Genres Through Time,Department of Arts and Humanities,taught_academic,Dr Brent Ferguson,0.3682,Dr Brent Ferguson,0.3682,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Brent Ferguson assigned as Rank #1 subject expert (Relevance score: 0.3682).
MG3623,Corporate Reporting,Brunel Business School,taught_academic,Dr Radha Shiwakoti,0.3767,Dr Radha Shiwakoti,0.3767,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Radha Shiwakoti assigned as Rank #1 subject expert (Relevance score: 0.3767).
N/A,Learning and Perception,Department of Life Sciences,taught_academic,Dr Caroline Di Bernardi Luft,0.2944,Dr Rachel Bennetts,0.2912,DISPLACED_BY_QUOTA,1,0.0032,"Assigned Dr Rachel Bennetts (Rank #2, Relevance: 0.2912) under Institutional Workload Policy."
ME5545,Energy Efficient Ventilation for Buildings,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Ali Badiei,0.4413,Professor Maria Kolokotroni,0.4404,DISPLACED_BY_QUOTA,1,0.0009,"Assigned Professor Maria Kolokotroni (Rank #2, Relevance: 0.4404) under Institutional Workload Policy."
CY2609,Global and Intersectional Criminology,Department of Social and Political Sciences,taught_academic,Dr Anamika Twyman-Ghoshal,0.4189,Dr Ebony Reid,0.3812,DISPLACED_BY_QUOTA,1,0.0377,"Assigned Dr Ebony Reid (Rank #2, Relevance: 0.3812) under Institutional Workload Policy."
N/A,Physical Activity and Exercise for Clinical and Special Populations,Department of Life Sciences,taught_academic,Dr Daniel Bailey,0.5954,Dr Daniel Bailey,0.5954,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Daniel Bailey assigned as Rank #1 subject expert (Relevance score: 0.5954).
N/A,Art and Human Development,Department of Arts and Humanities,taught_academic,Dr Katerina Paramana,0.3531,Dr Stuart Andrews,0.328,DISPLACED_BY_QUOTA,4,0.0251,"Assigned Dr Stuart Andrews (Rank #5, Relevance: 0.3280) under Institutional Workload Policy."
ME5698,Renewable Engergy Systems for the Built Environment,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Ali Badiei,0.4256,Dr Ali Badiei,0.4256,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Ali Badiei assigned as Rank #1 subject expert (Relevance score: 0.4256).
OT1606,Enabling Occupation 1: Working with Older Adults,Department of Health Sciences,taught_academic,Dr Panagiota Smyrni,0.3883,Dr Michael Thomas,0.3449,DISPLACED_BY_QUOTA,4,0.0434,"Assigned Dr Michael Thomas (Rank #5, Relevance: 0.3449) under Institutional Workload Policy."
N/A,Business Analysis and Process Modelling,Department of Computer Science,taught_academic,Dr Alan Serrano-Rico,0.3068,Dr Alan Serrano-Rico,0.3068,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Alan Serrano-Rico assigned as Rank #1 subject expert (Relevance score: 0.3068).
SC1604,Special Subjects A,"Department of Social Sciences, Media and Communications",taught_academic,Dr Victor Jatula,0.3006,Dr Victor Jatula,0.3006,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Victor Jatula assigned as Rank #1 subject expert (Relevance score: 0.3006).
CO2607,Popular Culture and Creative Industries,"Department of Social Sciences, Media and Communications",taught_academic,Professor Sarita Malik,0.3698,Professor Sarita Malik,0.3698,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Sarita Malik assigned as Rank #1 subject expert (Relevance score: 0.3698).
MG5579,MG5579 Operations & Project Management,Brunel Business School,taught_academic,Professor Afshin Mansouri,0.2713,Professor Afshin Mansouri,0.2713,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Afshin Mansouri assigned as Rank #1 subject expert (Relevance score: 0.2713).
BB3739,Medical Immunology,Department of Life Sciences,taught_academic,Dr Ayca Sayi Yazgan,0.4306,Dr Ayca Sayi Yazgan,0.4306,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Ayca Sayi Yazgan assigned as Rank #1 subject expert (Relevance score: 0.4306).
SP56AA,Professional Practice,Department of Life Sciences,taught_academic,Dr Rebecca Hings,0.4229,Dr Misia Gervis,0.3733,DISPLACED_BY_QUOTA,2,0.0496,"Assigned Dr Misia Gervis (Rank #3, Relevance: 0.3733) under Institutional Workload Policy."
PH5684,Person-centred Healthcare and Leadership 2,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.4209,Professor Fiona Verity,0.3208,DISPLACED_BY_QUOTA,4,0.1001,"Assigned Professor Fiona Verity (Rank #5, Relevance: 0.3208) under Institutional Workload Policy."
MG5594,"MG5594 Knowledge Management, Social Networks and Innovation",Brunel Business School,taught_academic,Dr Xiaoqing Li,0.3891,Dr Marco Cuvero Calero,0.3793,DISPLACED_BY_QUOTA,1,0.0098,"Assigned Dr Marco Cuvero Calero (Rank #2, Relevance: 0.3793) under Institutional Workload Policy."
LX5613,World Trade Organisation (WTO) Law,Brunel Law School,taught_academic,Dr Boris Prastalo,0.3304,Dr Boris Prastalo,0.3304,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Boris Prastalo assigned as Rank #1 subject expert (Relevance score: 0.3304).
CS3072,Computer Science Final Year Project,Department of Computer Science,independent_project_placement,Dr Arthur Money,0.3099,Dr Arthur Money,0.3099,EXEMPT,0,0.0,Exempt unit: 'Dr Arthur Money' assigned as academic supervisor / dissertation coordinator.
CS2005,Networks and Operating Systems,Department of Computer Science,taught_academic,Professor George Ghinea,0.2674,Professor George Ghinea,0.2674,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor George Ghinea assigned as Rank #1 subject expert (Relevance score: 0.2674).
EE5566,Advanced Analogue Electronics and Photonics,Department of Electronic and Computer Engineering,taught_academic,Dr Lu Gan,0.2228,Professor Hongying Meng,0.1966,DISPLACED_BY_QUOTA,3,0.0262,"Assigned Professor Hongying Meng (Rank #4, Relevance: 0.1966) under Institutional Workload Policy."
MA5624,Option Pricing Theory,Department of Mathematics,taught_academic,Dr Jiawei Lim,0.3683,Dr Jiawei Lim,0.3683,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Jiawei Lim assigned as Rank #1 subject expert (Relevance score: 0.3683).
CS3005,Digital Media and Games,Department of Computer Science,taught_academic,Professor George Ghinea,0.2771,Professor George Ghinea,0.2771,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor George Ghinea assigned as Rank #1 subject expert (Relevance score: 0.2771).
LX5643,Patent Law and Practice,Department of Social and Political Sciences,taught_academic,Dr Anna Tuckett,0.2017,Dr Anna Tuckett,0.2017,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anna Tuckett assigned as Rank #1 subject expert (Relevance score: 0.2017).
BE16FF,Energy Engineering,Department of Civil and Environmental Engineering,taught_academic,Professor Thanos Megaritis,0.3814,Dr Changzhao Jiang,0.333,DISPLACED_BY_QUOTA,4,0.0484,"Assigned Dr Changzhao Jiang (Rank #5, Relevance: 0.3330) under Institutional Workload Policy."
N/A,The Total Environment,Department of Civil and Environmental Engineering,taught_academic,Dr Eleni Iacovidou,0.3655,Dr Theodoros Giakoumis,0.3386,DISPLACED_BY_QUOTA,1,0.0269,"Assigned Dr Theodoros Giakoumis (Rank #2, Relevance: 0.3386) under Institutional Workload Policy."
FM1625,The Professional Self,Department of Arts and Humanities,taught_academic,Dr Sean Holmes,0.2458,Dr Sean Holmes,0.2458,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sean Holmes assigned as Rank #1 subject expert (Relevance score: 0.2458).
MG55CC,AI Technologies for Decision Makers,Brunel Business School,taught_academic,Dr Long Chen,0.2888,Dr Long Chen,0.2888,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Long Chen assigned as Rank #1 subject expert (Relevance score: 0.2888).
MG55ZZ,Innovative AI Leadership and Business Models,Brunel Business School,taught_academic,Dr Xiaoqing Li,0.4146,Professor Habin Lee,0.3627,DISPLACED_BY_QUOTA,2,0.0519,"Assigned Professor Habin Lee (Rank #3, Relevance: 0.3627) under Institutional Workload Policy."
MG5637,Understanding Business and Management Research,Brunel Business School,taught_academic,Dr Grigorios Theodosopoulos,0.337,Dr Nick Yip,0.3061,DISPLACED_BY_QUOTA,4,0.0309,"Assigned Dr Nick Yip (Rank #5, Relevance: 0.3061) under Institutional Workload Policy."
OT5604,Evidence Based Practice & Research 1,Department of Health Sciences,taught_academic,Ms Tai Frater,0.5752,Ms Tai Frater,0.5752,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Ms Tai Frater assigned as Rank #1 subject expert (Relevance score: 0.5752).
N/A,Creative Engineering Practice,Brunel Design School,taught_academic,Dr Fabrizio Ceschin,0.3118,Dr Harry Agius,0.2306,DISPLACED_BY_QUOTA,4,0.0812,"Assigned Dr Harry Agius (Rank #5, Relevance: 0.2306) under Institutional Workload Policy."
LX5677,AI and Compliance,Brunel Law School,taught_academic,Dr Asress Gikay,0.4251,Dr Asress Gikay,0.4251,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Asress Gikay assigned as Rank #1 subject expert (Relevance score: 0.4251).
CO5608,Political Satire and Comedy,"Department of Social Sciences, Media and Communications",taught_academic,Dr Simon Weaver,0.495,Dr Simon Weaver,0.495,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Simon Weaver assigned as Rank #1 subject expert (Relevance score: 0.4950).
LX2606,EU Law in its UK Context,Department of Social and Political Sciences,taught_academic,Dr Katja Sarmiento-Mirwaldt,0.2882,Dr Katja Sarmiento-Mirwaldt,0.2882,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Katja Sarmiento-Mirwaldt assigned as Rank #1 subject expert (Relevance score: 0.2882).
SO3614,Apocalypse! Crisis and Society,"Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.3838,Dr Billur Ozgul,0.3838,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Billur Ozgul assigned as Rank #1 subject expert (Relevance score: 0.3838).
PP5630,International Organisations,"Department of Social Sciences, Media and Communications",taught_academic,Dr Luke Heslop,0.2557,Dr Luke Heslop,0.2557,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Luke Heslop assigned as Rank #1 subject expert (Relevance score: 0.2557).
BE1608,Engineering Mathematics and Programming II,Department of Civil and Environmental Engineering,taught_academic,Dr Rui Ramos Cardoso,0.3122,Dr Diana Suleimenova,0.217,DISPLACED_BY_QUOTA,4,0.0951,"Assigned Dr Diana Suleimenova (Rank #5, Relevance: 0.2170) under Institutional Workload Policy."
PP2636,Climate Politics,"Department of Social Sciences, Media and Communications",taught_academic,Dr Anneleen Kenis,0.4749,Dr Anneleen Kenis,0.4749,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anneleen Kenis assigned as Rank #1 subject expert (Relevance score: 0.4749).
MA1636,Probability and Statistics 1,Department of Mathematics,taught_academic,Professor Keming Yu,0.2503,Dr Kasun Fernando Akurugodage,0.2349,DISPLACED_BY_QUOTA,1,0.0154,"Assigned Dr Kasun Fernando Akurugodage (Rank #2, Relevance: 0.2349) under Institutional Workload Policy."
LX3612,Banking Law,Department of Social and Political Sciences,taught_academic,Dr Anna Tuckett,0.1566,Dr Anna Tuckett,0.1566,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anna Tuckett assigned as Rank #1 subject expert (Relevance score: 0.1566).
EC3614,Managerial and Industrial Economics,"Department of Economics, Finance and Accounting",taught_academic,Dr Sven Fischer,0.4054,Dr Sven Fischer,0.4054,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sven Fischer assigned as Rank #1 subject expert (Relevance score: 0.4054).
MA3625,Mathematical Finance,Department of Mathematics,taught_academic,Dr Jiawei Lim,0.457,Dr Jiawei Lim,0.457,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Jiawei Lim assigned as Rank #1 subject expert (Relevance score: 0.4570).
EE2649,Computer Architecture and Interfacing,Department of Electronic and Computer Engineering,taught_academic,Dr Nour Ali,0.3367,Dr Nour Ali,0.3367,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Nour Ali assigned as Rank #1 subject expert (Relevance score: 0.3367).
CL1621,Chemical Engineering Introduction,Department of Mechanical and Aerospace Engineering,taught_academic,Professor Xinyan Wang,0.3949,Professor Xinyan Wang,0.3949,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Xinyan Wang assigned as Rank #1 subject expert (Relevance score: 0.3949).
CO2608,Global Communication,"Department of Social Sciences, Media and Communications",taught_academic,Dr Peter Wilkin,0.3227,Dr Peter Wilkin,0.3227,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Peter Wilkin assigned as Rank #1 subject expert (Relevance score: 0.3227).
MB5526,Managing for the Future,Brunel Business School,taught_academic,Dr Lalnunpuia Samuel,0.3453,Professor Ashley Braganza,0.3234,DISPLACED_BY_QUOTA,2,0.0218,"Assigned Professor Ashley Braganza (Rank #3, Relevance: 0.3234) under Institutional Workload Policy."
EE5664,Power Electronics and Drives,Department of Electronic and Computer Engineering,taught_academic,Dr Ioana Pisica,0.2425,Professor Gareth Taylor,0.2182,DISPLACED_BY_QUOTA,1,0.0242,"Assigned Professor Gareth Taylor (Rank #2, Relevance: 0.2182) under Institutional Workload Policy."
ED3701,Education in Different Contexts,Department of Education,taught_academic,Dr Lewis Fogarty,0.3667,Dr Lewis Fogarty,0.3667,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Lewis Fogarty assigned as Rank #1 subject expert (Relevance score: 0.3667).
MG2638,Services Marketing,Brunel Business School,taught_academic,Dr Abrahim Althonayan,0.2963,Dr Ezgi Merdin Uygur,0.2632,DISPLACED_BY_QUOTA,3,0.0332,"Assigned Dr Ezgi Merdin Uygur (Rank #4, Relevance: 0.2632) under Institutional Workload Policy."
FM3627,Games Studies 3: Theory of Games Design,Department of Arts and Humanities,taught_academic,Mr Chris Cox,0.4324,Mr Chris Cox,0.4324,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Mr Chris Cox assigned as Rank #1 subject expert (Relevance score: 0.4324).
