review_case_id,case_type,module_id,module_code,module_title,top_rank_changed,module_departments,module_colleges,review_instruction,m2_h_staff_id,m2_h_full_name,m2_h_position,m2_h_department_name,m2_h_college_name,m2_h_semantic_score,m2_h_final_score,m2_h_shared_topic_count,m2_h_top_shared_topics,m2_h_graph_support_score,m2_h_explanation_text,m3_kg_staff_id,m3_kg_full_name,m3_kg_position,m3_kg_department_name,m3_kg_college_name,m3_kg_semantic_score,m3_kg_final_score,m3_kg_shared_topic_count,m3_kg_top_shared_topics,m3_kg_graph_support_score,m3_kg_explanation_text,m2_h_relevance_rating_1_to_5,m3_kg_relevance_rating_1_to_5,m3_kg_explanation_quality_1_to_5,preferred_system,preferred_system_options,reviewer_comments
CASE-11,stable_but_explained,module_e3efd8fb7afe1d60,FM5602,Building a PR Campaign,False,"Department of Social Sciences, Media and Communications","College of Arts, Law and Social Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,billur-ozgul,Dr Billur Ozgul,Senior Lecturer in Political Communications,Social and Political Sciences,"College of Arts, Law and Social Sciences",0.409338,0.409338,,,,,billur-ozgul,Dr Billur Ozgul,Senior Lecturer in Political Communications,Social and Political Sciences,"College of Arts, Law and Social Sciences",0.409338,0.43747,2,"public relations, social media",0.55,"Shared topic evidence: public relations, social media; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-12,stable_but_explained,module_a2c2488e19243241,EC3612,"EC3612 - Economics, Finance, and Accounting Project",False,"Department of Economics, Finance and Accounting",Brunel Business School,Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",Brunel Business School,0.423402,0.423402,,,,,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",Brunel Business School,0.423402,0.448722,2,"economics, finance",0.55,"Shared topic evidence: economics, finance; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-13,stable_but_explained,module_61cdcabc9eaea95e,EC3615,EC3615 - Behavioural Economics,False,"Department of Economics, Finance and Accounting",Brunel Business School,Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,alper-kara,Professor Alper Kara,"Head of Department/Professor - Economics, Finance & Accounting","Economics, Finance and Accounting",Brunel Business School,0.42667,0.42667,,,,,alper-kara,Professor Alper Kara,"Head of Department/Professor - Economics, Finance & Accounting","Economics, Finance and Accounting",Brunel Business School,0.42667,0.451336,2,"finance, economics",0.55,"Shared topic evidence: finance, economics; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-14,stable_but_explained,module_fcb40f9bc6c0f9c2,EC3OOO,"EC3OOO - Applied Research in Economics, Banking and Finance",False,"Department of Economics, Finance and Accounting",Brunel Business School,Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,dilruba-karim,Miss Dilruba Karim,Senior Lecturer in Economics and Finance,"Economics, Finance and Accounting",Brunel Business School,0.383116,0.383116,,,,,dilruba-karim,Miss Dilruba Karim,Senior Lecturer in Economics and Finance,"Economics, Finance and Accounting",Brunel Business School,0.383116,0.416493,2,"economics, finance",0.55,"Shared topic evidence: economics, finance; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-15,stable_but_explained,module_bc53cf387812deb1,EC3OOO,"EC3OOO - Economics, Finance, and Accounting Project",False,"Brunel Business School, Department of Economics, Finance and Accounting",Brunel Business School,Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",Brunel Business School,0.45178,0.45178,,,,,radha-shiwakoti,Dr Radha Shiwakoti,Senior Lecturer in Accounting and Finance,"Economics, Finance and Accounting",Brunel Business School,0.45178,0.471424,2,"economics, finance",0.55,"Shared topic evidence: economics, finance; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-16,strong_graph_evidence,module_31b997c8d51aa6c8,,Advanced Design for Sustainability Project,False,Brunel Design School,"College of Engineering, Design and Physical Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,fabrizio-ceschin,Dr Fabrizio Ceschin,Reader in Design,Brunel Design School,"College of Engineering, Design and Physical Sciences",0.569948,0.569948,,,,,fabrizio-ceschin,Dr Fabrizio Ceschin,Reader in Design,Brunel Design School,"College of Engineering, Design and Physical Sciences",0.569948,0.595958,2,"sustainability, design sustainability",0.7,"Shared topic evidence: sustainability, design sustainability; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-17,strong_graph_evidence,module_520d1d38d9f2f3d5,ADVANCEDSOCIALPSYCHOLOGYANDINDIVIDUALDIFFERENCES,Advanced Social Psychology and Individual Differences,False,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,stanley-gaines-jr,Dr Stanley Gaines,Senior Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.432236,0.432236,,,,,stanley-gaines-jr,Dr Stanley Gaines,Senior Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.432236,0.485789,2,"psychology, social psychology",0.7,"Shared topic evidence: psychology, social psychology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-18,strong_graph_evidence,module_8e06631320c170a1,BB2739,BB2739 - Applied Molecular and Cell Biology,False,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,christian-rudolph,Dr Christian Rudolph,Reader,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.39911,0.39911,,,,,christian-rudolph,Dr Christian Rudolph,Reader,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.39911,0.479288,3,"biology, molecular, cell biology",0.8,"Shared topic evidence: biology, molecular, cell biology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-19,strong_graph_evidence,module_cfff362f20006f32,CLINICALPSYCHOLOGY,Clinical Psychology,False,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,misia-gervis,Dr Misia Gervis,Reader,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.40597,0.40597,,,,,misia-gervis,Dr Misia Gervis,Reader,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.40597,0.464776,2,"psychology, clinical psychology",0.7,"Shared topic evidence: psychology, clinical psychology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-20,strong_graph_evidence,module_6bc8fedcff87bd09,PY5632,Cognitive Psychology,False,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,andre-szameitat,Dr Andre J. Szameitat,Reader - Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.488349,0.488349,,,,,andre-szameitat,Dr Andre J. Szameitat,Reader - Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.488349,0.530679,2,"psychology, cognitive psychology",0.7,"Shared topic evidence: psychology, cognitive psychology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
